codigo,detalle,costo,alicuota_iva,punto_pedido,marca,rubro,codigo_barra
CA4397,FILTRO DE HABITACULO FRAM CA4397,6200,21,16,Fram,FILTROS,7792000000255
JFC312,FILTRO DE AIRE WEGA JFC312,7200,21,24,Wega,FILTROS,7792000000256
JFC568,FILTRO DE HABITACULO WEGA JFC568,5400,21,16,Wega,FILTROS,7792000000257
PH5783,FILTRO DE ACEITE FRAM PH5783,19900,21,6,Fram,FILTROS,7792000000258
W653/75,FILTRO DE HABITACULO MANN W653/75,21600,21,10,Mann,FILTROS,7792000000259
OC248,FILTRO DE HABITACULO MAHLE OC248,8100,21,24,Mahle,FILTROS,7792000000260
OC964,FILTRO DE ACEITE MAHLE OC964,17300,21,6,Mahle,FILTROS,7792000000261
OC916,FILTRO DE ACEITE MAHLE OC916,15700,21,6,Mahle,FILTROS,7792000000262
LX1951,FILTRO DE HABITACULO MAHLE LX1951,16400,21,8,Mahle,FILTROS,7792000000263
CA7206,FILTRO DE AIRE FRAM CA7206,7300,21,20,Fram,FILTROS,7792000000264
W855/65,FILTRO DE ACEITE MANN W855/65,21900,21,6,Mann,FILTROS,7792000000265
PH3274,FILTRO DE AIRE FRAM PH3274,13200,21,6,Fram,FILTROS,7792000000266
LX2287,FILTRO DE COMBUSTIBLE MAHLE LX2287,5300,21,12,Mahle,FILTROS,7792000000267
CA9026,FILTRO DE AIRE FRAM CA9026,13600,21,10,Fram,FILTROS,7792000000268
C3346,FILTRO DE HABITACULO MANN C3346,6000,21,16,Mann,FILTROS,7792000000269
LX2939,FILTRO DE HABITACULO MAHLE LX2939,12400,21,10,Mahle,FILTROS,7792000000270
OC340,FILTRO DE AIRE MAHLE OC340,18600,21,6,Mahle,FILTROS,7792000000271
WO4210,FILTRO DE AIRE WEGA WO4210,7500,21,16,Wega,FILTROS,7792000000272
CA7570,FILTRO DE HABITACULO FRAM CA7570,5400,21,24,Fram,FILTROS,7792000000273
0986TB4236,FILTRO DE HABITACULO BOSCH 0986TB4236,10200,21,10,Bosch,FILTROS,7792000000274
C3422,FILTRO DE ACEITE MANN C3422,20800,21,6,Mann,FILTROS,7792000000275
WO2462,FILTRO DE COMBUSTIBLE WEGA WO2462,6700,21,20,Wega,FILTROS,7792000000276
LX690,FILTRO DE HABITACULO MAHLE LX690,17800,21,6,Mahle,FILTROS,7792000000277
CA9618,FILTRO DE AIRE FRAM CA9618,13300,21,6,Fram,FILTROS,7792000000278
OC779,FILTRO DE COMBUSTIBLE MAHLE OC779,18600,21,8,Mahle,FILTROS,7792000000279
WK603,FILTRO DE AIRE MANN WK603,10500,21,6,Mann,FILTROS,7792000000280
WK813,FILTRO DE ACEITE MANN WK813,20400,21,6,Mann,FILTROS,7792000000281
PH9940,FILTRO DE AIRE FRAM PH9940,13400,21,10,Fram,FILTROS,7792000000282
0986TB6767,FILTRO DE ACEITE BOSCH 0986TB6767,19300,21,10,Bosch,FILTROS,7792000000283
JFC682,FILTRO DE HABITACULO WEGA JFC682,16300,21,6,Wega,FILTROS,7792000000284
LX2793,FILTRO DE AIRE MAHLE LX2793,20700,21,8,Mahle,FILTROS,7792000000285
JFC615,FILTRO DE HABITACULO WEGA JFC615,14200,21,8,Wega,FILTROS,7792000000286
W721/5,FILTRO DE COMBUSTIBLE MANN W721/5,6100,21,16,Mann,FILTROS,7792000000287
PH6980,FILTRO DE AIRE FRAM PH6980,18100,21,10,Fram,FILTROS,7792000000288
OC695,FILTRO DE ACEITE MAHLE OC695,19500,21,6,Mahle,FILTROS,7792000000289
JFC750,FILTRO DE AIRE WEGA JFC750,10800,21,10,Wega,FILTROS,7792000000290
JFC932,FILTRO DE HABITACULO WEGA JFC932,6500,21,24,Wega,FILTROS,7792000000291
WO3963,FILTRO DE HABITACULO WEGA WO3963,16300,21,10,Wega,FILTROS,7792000000292
C2499,FILTRO DE AIRE MANN C2499,9700,21,16,Mann,FILTROS,7792000000293
OC838,FILTRO DE COMBUSTIBLE MAHLE OC838,13300,21,6,Mahle,FILTROS,7792000000294
JFC846,FILTRO DE COMBUSTIBLE WEGA JFC846,10700,21,8,Wega,FILTROS,7792000000295
0986AF5372,FILTRO DE HABITACULO BOSCH 0986AF5372,16700,21,6,Bosch,FILTROS,7792000000296
0986B08179,FILTRO DE ACEITE BOSCH 0986B08179,11300,21,8,Bosch,FILTROS,7792000000297
PH9382,FILTRO DE ACEITE FRAM PH9382,13700,21,10,Fram,FILTROS,7792000000298
CU3057,FILTRO DE COMBUSTIBLE MANN CU3057,17200,21,6,Mann,FILTROS,7792000000299
CA7589,FILTRO DE AIRE FRAM CA7589,14500,21,10,Fram,FILTROS,7792000000300
JFC736,FILTRO DE ACEITE WEGA JFC736,12600,21,10,Wega,FILTROS,7792000000301
WK515,FILTRO DE ACEITE MANN WK515,20300,21,10,Mann,FILTROS,7792000000302
PH3398,FILTRO DE ACEITE FRAM PH3398,7400,21,16,Fram,FILTROS,7792000000303
OC458,FILTRO DE HABITACULO MAHLE OC458,7300,21,24,Mahle,FILTROS,7792000000304
JFC717,FILTRO DE HABITACULO WEGA JFC717,15900,21,10,Wega,FILTROS,7792000000305
BD5575,DISCO FRENO DELANT FREMAX BD5575,44900,21,3,Fremax,FRENOS,7792000000306
BD5661,PASTILLA FRENO DELANT FREMAX BD5661,45400,21,6,Fremax,FRENOS,7792000000307
BD4134,PASTILLA FRENO TRAS FREMAX BD4134,21800,21,6,Fremax,FRENOS,7792000000308
FDB1999,DISCO FRENO DELANT FERODO FDB1999,29600,21,6,Ferodo,FRENOS,7792000000309
N582,PASTILLA FRENO DELANT COBREQ N582,39000,21,4,Cobreq,FRENOS,7792000000310
BD5313,CAMPANA FRENO FREMAX BD5313,18700,21,6,Fremax,FRENOS,7792000000311
NF787,PASTILLA FRENO DELANT COBREQ NF787,29800,21,4,Cobreq,FRENOS,7792000000312
NF448,CAMPANA FRENO COBREQ NF448,34400,21,6,Cobreq,FRENOS,7792000000313
GDB1905,DISCO FRENO DELANT TRW GDB1905,37800,21,4,TRW,FRENOS,7792000000314
BD5680,CAMPANA FRENO FREMAX BD5680,28500,21,6,Fremax,FRENOS,7792000000315
FVR1666,DISCO FRENO DELANT FERODO FVR1666,35300,21,4,Ferodo,FRENOS,7792000000316
BD5948,PASTILLA FRENO DELANT FREMAX BD5948,33000,21,4,Fremax,FRENOS,7792000000317
BD4928,DISCO FRENO DELANT FREMAX BD4928,37100,21,5,Fremax,FRENOS,7792000000318
FVR1467,CAMPANA FRENO FERODO FVR1467,33100,21,4,Ferodo,FRENOS,7792000000319
N1519,PASTILLA FRENO TRAS COBREQ N1519,30300,21,5,Cobreq,FRENOS,7792000000320
NF165,PASTILLA FRENO DELANT COBREQ NF165,34200,21,6,Cobreq,FRENOS,7792000000321
JTE828,DISCO FRENO DELANT TRW JTE828,32500,21,5,TRW,FRENOS,7792000000322
GDB1131,PASTILLA FRENO TRAS TRW GDB1131,18000,21,8,TRW,FRENOS,7792000000323
GDB1658,PASTILLA FRENO DELANT TRW GDB1658,22900,21,8,TRW,FRENOS,7792000000324
FVR1475,PASTILLA FRENO DELANT FERODO FVR1475,23200,21,10,Ferodo,FRENOS,7792000000325
BD4104,PASTILLA FRENO DELANT FREMAX BD4104,38200,21,6,Fremax,FRENOS,7792000000326
JTE741,PASTILLA FRENO DELANT TRW JTE741,40800,21,4,TRW,FRENOS,7792000000327
BD4324,PASTILLA FRENO DELANT FREMAX BD4324,39400,21,3,Fremax,FRENOS,7792000000328
N1266,PASTILLA FRENO DELANT COBREQ N1266,39200,21,6,Cobreq,FRENOS,7792000000329
FDB1770,DISCO FRENO DELANT FERODO FDB1770,34500,21,5,Ferodo,FRENOS,7792000000330
JTE530,PASTILLA FRENO TRAS TRW JTE530,43400,21,4,TRW,FRENOS,7792000000331
BD4398,CAMPANA FRENO FREMAX BD4398,22100,21,6,Fremax,FRENOS,7792000000332
GDB1419,PASTILLA FRENO DELANT TRW GDB1419,24800,21,8,TRW,FRENOS,7792000000333
NF579,PASTILLA FRENO TRAS COBREQ NF579,45100,21,4,Cobreq,FRENOS,7792000000334
BD4062,PASTILLA FRENO TRAS FREMAX BD4062,35200,21,6,Fremax,FRENOS,7792000000335
BD4410,DISCO FRENO DELANT FREMAX BD4410,22500,21,6,Fremax,FRENOS,7792000000336
N820,CAMPANA FRENO COBREQ N820,32500,21,5,Cobreq,FRENOS,7792000000337
BD4819,PASTILLA FRENO DELANT FREMAX BD4819,31600,21,5,Fremax,FRENOS,7792000000338
FVR2079,DISCO FRENO DELANT FERODO FVR2079,21500,21,10,Ferodo,FRENOS,7792000000339
FVR1664,PASTILLA FRENO DELANT FERODO FVR1664,20500,21,6,Ferodo,FRENOS,7792000000340
N1397,PASTILLA FRENO TRAS COBREQ N1397,38700,21,6,Cobreq,FRENOS,7792000000341
BD5749,PASTILLA FRENO DELANT FREMAX BD5749,39400,21,6,Fremax,FRENOS,7792000000342
BD4323,DISCO FRENO DELANT FREMAX BD4323,41700,21,3,Fremax,FRENOS,7792000000343
BD5649,CAMPANA FRENO FREMAX BD5649,33900,21,3,Fremax,FRENOS,7792000000344
NF776,PASTILLA FRENO DELANT COBREQ NF776,28800,21,5,Cobreq,FRENOS,7792000000345
NF197,DISCO FRENO DELANT COBREQ NF197,30300,21,3,Cobreq,FRENOS,7792000000346
NF576,PASTILLA FRENO DELANT COBREQ NF576,29600,21,6,Cobreq,FRENOS,7792000000347
NF126,CAMPANA FRENO COBREQ NF126,43400,21,6,Cobreq,FRENOS,7792000000348
GDB1565,PASTILLA FRENO DELANT TRW GDB1565,44800,21,4,TRW,FRENOS,7792000000349
FDB1031,PASTILLA FRENO TRAS FERODO FDB1031,38700,21,5,Ferodo,FRENOS,7792000000350
GDB1128,PASTILLA FRENO DELANT TRW GDB1128,36000,21,5,TRW,FRENOS,7792000000351
NF380,CAMPANA FRENO COBREQ NF380,21400,21,10,Cobreq,FRENOS,7792000000352
FVR1511,CAMPANA FRENO FERODO FVR1511,19800,21,10,Ferodo,FRENOS,7792000000353
FDB1013,CAMPANA FRENO FERODO FDB1013,26300,21,4,Ferodo,FRENOS,7792000000354
BD4314,DISCO FRENO DELANT FREMAX BD4314,39500,21,6,Fremax,FRENOS,7792000000355
FVR1315,DISCO FRENO DELANT FERODO FVR1315,25400,21,3,Ferodo,FRENOS,7792000000356
FVR1872,PASTILLA FRENO DELANT FERODO FVR1872,44400,21,5,Ferodo,FRENOS,7792000000357
JTE403,PASTILLA FRENO DELANT TRW JTE403,31100,21,3,TRW,FRENOS,7792000000358
BD4550,DISCO FRENO DELANT FREMAX BD4550,39100,21,6,Fremax,FRENOS,7792000000359
BD4141,CAMPANA FRENO FREMAX BD4141,31700,21,3,Fremax,FRENOS,7792000000360
FDB1908,PASTILLA FRENO DELANT FERODO FDB1908,35600,21,3,Ferodo,FRENOS,7792000000361
FVR1275,PASTILLA FRENO DELANT FERODO FVR1275,39800,21,3,Ferodo,FRENOS,7792000000362
BD5321,PASTILLA FRENO DELANT FREMAX BD5321,34400,21,6,Fremax,FRENOS,7792000000363
BD4346,CAMPANA FRENO FREMAX BD4346,34000,21,4,Fremax,FRENOS,7792000000364
GDB1774,CAMPANA FRENO TRW GDB1774,26800,21,5,TRW,FRENOS,7792000000365
FDB1383,DISCO FRENO DELANT FERODO FDB1383,25800,21,4,Ferodo,FRENOS,7792000000366
N1430,DISCO FRENO DELANT COBREQ N1430,27400,21,5,Cobreq,FRENOS,7792000000367
JTE547,PASTILLA FRENO DELANT TRW JTE547,41300,21,4,TRW,FRENOS,7792000000368
FVR2024,DISCO FRENO DELANT FERODO FVR2024,24800,21,6,Ferodo,FRENOS,7792000000369
BD5010,PASTILLA FRENO TRAS FREMAX BD5010,40400,21,4,Fremax,FRENOS,7792000000370
BD4999,DISCO FRENO DELANT FREMAX BD4999,18700,21,8,Fremax,FRENOS,7792000000371
GDB1332,CAMPANA FRENO TRW GDB1332,33900,21,3,TRW,FRENOS,7792000000372
JTE686,PASTILLA FRENO DELANT TRW JTE686,19900,21,10,TRW,FRENOS,7792000000373
BD5099,PASTILLA FRENO DELANT FREMAX BD5099,40900,21,6,Fremax,FRENOS,7792000000374
BD5384,DISCO FRENO DELANT FREMAX BD5384,44800,21,4,Fremax,FRENOS,7792000000375
JTE659,DISCO FRENO DELANT TRW JTE659,25600,21,4,TRW,FRENOS,7792000000376
FVR1468,CAMPANA FRENO FERODO FVR1468,35500,21,3,Ferodo,FRENOS,7792000000377
JTE409,PASTILLA FRENO TRAS TRW JTE409,31800,21,5,TRW,FRENOS,7792000000378
FDB1458,DISCO FRENO DELANT FERODO FDB1458,23400,21,10,Ferodo,FRENOS,7792000000379
FVR1174,PASTILLA FRENO DELANT FERODO FVR1174,30500,21,3,Ferodo,FRENOS,7792000000380
NF844,PASTILLA FRENO TRAS COBREQ NF844,20000,21,8,Cobreq,FRENOS,7792000000381
BD5683,DISCO FRENO DELANT FREMAX BD5683,21700,21,6,Fremax,FRENOS,7792000000382
BD4588,CAMPANA FRENO FREMAX BD4588,23500,21,6,Fremax,FRENOS,7792000000383
BD5241,CAMPANA FRENO FREMAX BD5241,23800,21,10,Fremax,FRENOS,7792000000384
N1286,CAMPANA FRENO COBREQ N1286,33400,21,6,Cobreq,FRENOS,7792000000385
FDB1911,CAMPANA FRENO FERODO FDB1911,21900,21,8,Ferodo,FRENOS,7792000000386
NF329,DISCO FRENO DELANT COBREQ NF329,31400,21,6,Cobreq,FRENOS,7792000000387
FDB1079,PASTILLA FRENO DELANT FERODO FDB1079,24700,21,6,Ferodo,FRENOS,7792000000388
FVR1939,DISCO FRENO DELANT FERODO FVR1939,34500,21,4,Ferodo,FRENOS,7792000000389
BD5723,PASTILLA FRENO DELANT FREMAX BD5723,34600,21,4,Fremax,FRENOS,7792000000390
FVR2017,PASTILLA FRENO DELANT FERODO FVR2017,34900,21,6,Ferodo,FRENOS,7792000000391
FDB1543,PASTILLA FRENO TRAS FERODO FDB1543,39400,21,5,Ferodo,FRENOS,7792000000392
GDB1849,CAMPANA FRENO TRW GDB1849,25400,21,5,TRW,FRENOS,7792000000393
BD4392,PASTILLA FRENO DELANT FREMAX BD4392,31300,21,6,Fremax,FRENOS,7792000000394
BD4079,PASTILLA FRENO TRAS FREMAX BD4079,41900,21,5,Fremax,FRENOS,7792000000395
BD4127,PASTILLA FRENO TRAS FREMAX BD4127,40300,21,5,Fremax,FRENOS,7792000000396
JTE964,DISCO FRENO DELANT TRW JTE964,21300,21,6,TRW,FRENOS,7792000000397
N1158,PASTILLA FRENO DELANT COBREQ N1158,43400,21,6,Cobreq,FRENOS,7792000000398
FDB1005,PASTILLA FRENO DELANT FERODO FDB1005,40700,21,6,Ferodo,FRENOS,7792000000399
FVR1266,DISCO FRENO DELANT FERODO FVR1266,38000,21,6,Ferodo,FRENOS,7792000000400
JTE432,DISCO FRENO DELANT TRW JTE432,26900,21,5,TRW,FRENOS,7792000000401
NF315,PASTILLA FRENO DELANT COBREQ NF315,44700,21,5,Cobreq,FRENOS,7792000000402
BD5953,PASTILLA FRENO DELANT FREMAX BD5953,29300,21,5,Fremax,FRENOS,7792000000403
N1263,PASTILLA FRENO DELANT COBREQ N1263,42600,21,5,Cobreq,FRENOS,7792000000404
BD4986,CAMPANA FRENO FREMAX BD4986,34400,21,3,Fremax,FRENOS,7792000000405
BD4767,PASTILLA FRENO DELANT FREMAX BD4767,30700,21,4,Fremax,FRENOS,7792000000406
FVR1363,PASTILLA FRENO DELANT FERODO FVR1363,29800,21,3,Ferodo,FRENOS,7792000000407
FDB1181,PASTILLA FRENO TRAS FERODO FDB1181,22600,21,6,Ferodo,FRENOS,7792000000408
BD5162,PASTILLA FRENO DELANT FREMAX BD5162,20000,21,8,Fremax,FRENOS,7792000000409
NF510,PASTILLA FRENO TRAS COBREQ NF510,42400,21,6,Cobreq,FRENOS,7792000000410
GDB1027,PASTILLA FRENO TRAS TRW GDB1027,25500,21,3,TRW,FRENOS,7792000000411
BD5388,CAMPANA FRENO FREMAX BD5388,21600,21,6,Fremax,FRENOS,7792000000412
BD5687,PASTILLA FRENO TRAS FREMAX BD5687,20600,21,6,Fremax,FRENOS,7792000000413
BD5201,PASTILLA FRENO DELANT FREMAX BD5201,42200,21,3,Fremax,FRENOS,7792000000414
NF221,DISCO FRENO DELANT COBREQ NF221,39900,21,5,Cobreq,FRENOS,7792000000415
N1163,CAMPANA FRENO COBREQ N1163,25300,21,6,Cobreq,FRENOS,7792000000416
JTE257,PASTILLA FRENO DELANT TRW JTE257,38200,21,5,TRW,FRENOS,7792000000417
BD5002,PASTILLA FRENO TRAS FREMAX BD5002,43000,21,3,Fremax,FRENOS,7792000000418
GDB1579,PASTILLA FRENO TRAS TRW GDB1579,43700,21,3,TRW,FRENOS,7792000000419
GDB2007,DISCO FRENO DELANT TRW GDB2007,39700,21,6,TRW,FRENOS,7792000000420
JTE621,PASTILLA FRENO TRAS TRW JTE621,43600,21,3,TRW,FRENOS,7792000000421
GDB1257,DISCO FRENO DELANT TRW GDB1257,38600,21,4,TRW,FRENOS,7792000000422
BD4491,PASTILLA FRENO DELANT FREMAX BD4491,34800,21,5,Fremax,FRENOS,7792000000423
N1580,DISCO FRENO DELANT COBREQ N1580,26400,21,3,Cobreq,FRENOS,7792000000424
FDB1271,PASTILLA FRENO DELANT FERODO FDB1271,42000,21,6,Ferodo,FRENOS,7792000000425
NF630,PASTILLA FRENO DELANT COBREQ NF630,42300,21,3,Cobreq,FRENOS,7792000000426
GDB1727,CAMPANA FRENO TRW GDB1727,21900,21,6,TRW,FRENOS,7792000000427
GDB1408,PASTILLA FRENO TRAS TRW GDB1408,21800,21,8,TRW,FRENOS,7792000000428
N822,DISCO FRENO DELANT COBREQ N822,34600,21,5,Cobreq,FRENOS,7792000000429
GDB1555,PASTILLA FRENO DELANT TRW GDB1555,33900,21,5,TRW,FRENOS,7792000000430
GDB1908,PASTILLA FRENO TRAS TRW GDB1908,45600,21,4,TRW,FRENOS,7792000000431
N711,DISCO FRENO DELANT COBREQ N711,28000,21,5,Cobreq,FRENOS,7792000000432
FVR1197,DISCO FRENO DELANT FERODO FVR1197,26200,21,3,Ferodo,FRENOS,7792000000433
FVR1531,CAMPANA FRENO FERODO FVR1531,20300,21,10,Ferodo,FRENOS,7792000000434
JTE811,PASTILLA FRENO DELANT TRW JTE811,23100,21,10,TRW,FRENOS,7792000000435
GDB1032,PASTILLA FRENO DELANT TRW GDB1032,32500,21,6,TRW,FRENOS,7792000000436
N917,DISCO FRENO DELANT COBREQ N917,33300,21,4,Cobreq,FRENOS,7792000000437
N1578,PASTILLA FRENO DELANT COBREQ N1578,29200,21,4,Cobreq,FRENOS,7792000000438
BD4057,DISCO FRENO DELANT FREMAX BD4057,43000,21,4,Fremax,FRENOS,7792000000439
NF843,CAMPANA FRENO COBREQ NF843,28100,21,3,Cobreq,FRENOS,7792000000440
NF296,CAMPANA FRENO COBREQ NF296,36800,21,5,Cobreq,FRENOS,7792000000441
GDB1584,PASTILLA FRENO DELANT TRW GDB1584,35900,21,6,TRW,FRENOS,7792000000442
JTE236,DISCO FRENO DELANT TRW JTE236,37500,21,4,TRW,FRENOS,7792000000443
BD4250,PASTILLA FRENO TRAS FREMAX BD4250,26700,21,6,Fremax,FRENOS,7792000000444
GDB1511,PASTILLA FRENO DELANT TRW GDB1511,35400,21,4,TRW,FRENOS,7792000000445
FDB1112,CAMPANA FRENO FERODO FDB1112,33100,21,3,Ferodo,FRENOS,7792000000446
GDB1163,CAMPANA FRENO TRW GDB1163,30900,21,5,TRW,FRENOS,7792000000447
BD4287,PASTILLA FRENO DELANT FREMAX BD4287,42100,21,3,Fremax,FRENOS,7792000000448
N639,PASTILLA FRENO TRAS COBREQ N639,23100,21,6,Cobreq,FRENOS,7792000000449
NF634,DISCO FRENO DELANT COBREQ NF634,31100,21,3,Cobreq,FRENOS,7792000000450
BD5221,CAMPANA FRENO FREMAX BD5221,29400,21,5,Fremax,FRENOS,7792000000451
N1394,DISCO FRENO DELANT COBREQ N1394,40000,21,3,Cobreq,FRENOS,7792000000452
NF506,PASTILLA FRENO TRAS COBREQ NF506,42500,21,6,Cobreq,FRENOS,7792000000453
GDB1040,PASTILLA FRENO TRAS TRW GDB1040,27800,21,3,TRW,FRENOS,7792000000454
BD4545,PASTILLA FRENO DELANT FREMAX BD4545,31300,21,6,Fremax,FRENOS,7792000000455
BD5186,CAMPANA FRENO FREMAX BD5186,25300,21,3,Fremax,FRENOS,7792000000456
JTE782,PASTILLA FRENO DELANT TRW JTE782,25300,21,4,TRW,FRENOS,7792000000457
BD4005,DISCO FRENO DELANT FREMAX BD4005,43600,21,3,Fremax,FRENOS,7792000000458
BD4367,CAMPANA FRENO FREMAX BD4367,29700,21,4,Fremax,FRENOS,7792000000459
NF598,DISCO FRENO DELANT COBREQ NF598,20000,21,8,Cobreq,FRENOS,7792000000460
FDB1048,CAMPANA FRENO FERODO FDB1048,20800,21,10,Ferodo,FRENOS,7792000000461
BD5445,CAMPANA FRENO FREMAX BD5445,33800,21,6,Fremax,FRENOS,7792000000462
NF591,DISCO FRENO DELANT COBREQ NF591,26300,21,6,Cobreq,FRENOS,7792000000463
BD4163,DISCO FRENO DELANT FREMAX BD4163,40500,21,6,Fremax,FRENOS,7792000000464
BD4151,PASTILLA FRENO DELANT FREMAX BD4151,22000,21,6,Fremax,FRENOS,7792000000465
BD4641,PASTILLA FRENO TRAS FREMAX BD4641,42000,21,4,Fremax,FRENOS,7792000000466
NF251,PASTILLA FRENO DELANT COBREQ NF251,28800,21,5,Cobreq,FRENOS,7792000000467
NF375,DISCO FRENO DELANT COBREQ NF375,26800,21,4,Cobreq,FRENOS,7792000000468
BD4109,CAMPANA FRENO FREMAX BD4109,31100,21,5,Fremax,FRENOS,7792000000469
GDB1484,PASTILLA FRENO DELANT TRW GDB1484,39800,21,4,TRW,FRENOS,7792000000470
GDB1616,PASTILLA FRENO TRAS TRW GDB1616,21800,21,10,TRW,FRENOS,7792000000471
JTE603,PASTILLA FRENO DELANT TRW JTE603,23600,21,8,TRW,FRENOS,7792000000472
N1118,DISCO FRENO DELANT COBREQ N1118,41600,21,5,Cobreq,FRENOS,7792000000473
FVR1188,CAMPANA FRENO FERODO FVR1188,33100,21,5,Ferodo,FRENOS,7792000000474
NF559,DISCO FRENO DELANT COBREQ NF559,25900,21,3,Cobreq,FRENOS,7792000000475
FVR1173,CAMPANA FRENO FERODO FVR1173,20400,21,8,Ferodo,FRENOS,7792000000476
FVR1204,PASTILLA FRENO DELANT FERODO FVR1204,38500,21,6,Ferodo,FRENOS,7792000000477
NF224,CAMPANA FRENO COBREQ NF224,37900,21,4,Cobreq,FRENOS,7792000000478
BD4548,CAMPANA FRENO FREMAX BD4548,41100,21,5,Fremax,FRENOS,7792000000479
JTE190,CAMPANA FRENO TRW JTE190,30000,21,3,TRW,FRENOS,7792000000480
NF501,PASTILLA FRENO TRAS COBREQ NF501,20000,21,6,Cobreq,FRENOS,7792000000481
FVR2044,PASTILLA FRENO TRAS FERODO FVR2044,43700,21,4,Ferodo,FRENOS,7792000000482
FDB1593,DISCO FRENO DELANT FERODO FDB1593,33000,21,4,Ferodo,FRENOS,7792000000483
BD5552,CAMPANA FRENO FREMAX BD5552,45600,21,4,Fremax,FRENOS,7792000000484
GDB1248,PASTILLA FRENO TRAS TRW GDB1248,37100,21,3,TRW,FRENOS,7792000000485
JTE365,CAMPANA FRENO TRW JTE365,36000,21,5,TRW,FRENOS,7792000000486
JTE385,PASTILLA FRENO TRAS TRW JTE385,38400,21,5,TRW,FRENOS,7792000000487
FVR1949,DISCO FRENO DELANT FERODO FVR1949,45800,21,5,Ferodo,FRENOS,7792000000488
FDB1116,CAMPANA FRENO FERODO FDB1116,22700,21,10,Ferodo,FRENOS,7792000000489
GDB1460,PASTILLA FRENO DELANT TRW GDB1460,34900,21,6,TRW,FRENOS,7792000000490
BD4026,CAMPANA FRENO FREMAX BD4026,22500,21,8,Fremax,FRENOS,7792000000491
FDB1609,PASTILLA FRENO TRAS FERODO FDB1609,27600,21,5,Ferodo,FRENOS,7792000000492
BD4820,DISCO FRENO DELANT FREMAX BD4820,45200,21,6,Fremax,FRENOS,7792000000493
FDB1630,PASTILLA FRENO DELANT FERODO FDB1630,25000,21,4,Ferodo,FRENOS,7792000000494
JTE915,DISCO FRENO DELANT TRW JTE915,45100,21,4,TRW,FRENOS,7792000000495
N818,PASTILLA FRENO DELANT COBREQ N818,41100,21,4,Cobreq,FRENOS,7792000000496
GDB1253,DISCO FRENO DELANT TRW GDB1253,33800,21,5,TRW,FRENOS,7792000000497
N1409,CAMPANA FRENO COBREQ N1409,29500,21,3,Cobreq,FRENOS,7792000000498
GDB2106,PASTILLA FRENO TRAS TRW GDB2106,32600,21,3,TRW,FRENOS,7792000000499
BD5072,PASTILLA FRENO TRAS FREMAX BD5072,42000,21,3,Fremax,FRENOS,7792000000500
FVR1513,DISCO FRENO DELANT FERODO FVR1513,21400,21,6,Ferodo,FRENOS,7792000000501
NF458,DISCO FRENO DELANT COBREQ NF458,42400,21,3,Cobreq,FRENOS,7792000000502
BD5279,PASTILLA FRENO TRAS FREMAX BD5279,40300,21,6,Fremax,FRENOS,7792000000503
JTE353,PASTILLA FRENO TRAS TRW JTE353,34200,21,5,TRW,FRENOS,7792000000504
BD4197,PASTILLA FRENO DELANT FREMAX BD4197,41700,21,4,Fremax,FRENOS,7792000000505
GDB1896,PASTILLA FRENO TRAS TRW GDB1896,40800,21,4,TRW,FRENOS,7792000000506
FDB1570,CAMPANA FRENO FERODO FDB1570,19100,21,8,Ferodo,FRENOS,7792000000507
N1004,DISCO FRENO DELANT COBREQ N1004,41900,21,6,Cobreq,FRENOS,7792000000508
GDB1902,CAMPANA FRENO TRW GDB1902,35000,21,5,TRW,FRENOS,7792000000509
BD5146,DISCO FRENO DELANT FREMAX BD5146,29400,21,4,Fremax,FRENOS,7792000000510
GDB1537,DISCO FRENO DELANT TRW GDB1537,26400,21,5,TRW,FRENOS,7792000000511
JTE290,CAMPANA FRENO TRW JTE290,45300,21,5,TRW,FRENOS,7792000000512
JTE569,CAMPANA FRENO TRW JTE569,42200,21,5,TRW,FRENOS,7792000000513
BD5765,PASTILLA FRENO TRAS FREMAX BD5765,43900,21,4,Fremax,FRENOS,7792000000514
BD5430,PASTILLA FRENO DELANT FREMAX BD5430,28100,21,6,Fremax,FRENOS,7792000000515
JTE637,PASTILLA FRENO TRAS TRW JTE637,31800,21,5,TRW,FRENOS,7792000000516
BD5547,DISCO FRENO DELANT FREMAX BD5547,40400,21,3,Fremax,FRENOS,7792000000517
FDB1934,DISCO FRENO DELANT FERODO FDB1934,44100,21,5,Ferodo,FRENOS,7792000000518
N1079,CAMPANA FRENO COBREQ N1079,32200,21,3,Cobreq,FRENOS,7792000000519
FVR1928,CAMPANA FRENO FERODO FVR1928,37400,21,3,Ferodo,FRENOS,7792000000520
NF376,DISCO FRENO DELANT COBREQ NF376,27300,21,5,Cobreq,FRENOS,7792000000521
FDB2044,PASTILLA FRENO DELANT FERODO FDB2044,36400,21,3,Ferodo,FRENOS,7792000000522
JTE525,PASTILLA FRENO DELANT TRW JTE525,39500,21,3,TRW,FRENOS,7792000000523
JTE609,PASTILLA FRENO DELANT TRW JTE609,26000,21,6,TRW,FRENOS,7792000000524
JTE961,DISCO FRENO DELANT TRW JTE961,24300,21,8,TRW,FRENOS,7792000000525
FVR1991,DISCO FRENO DELANT FERODO FVR1991,41200,21,4,Ferodo,FRENOS,7792000000526
NF709,CAMPANA FRENO COBREQ NF709,35800,21,4,Cobreq,FRENOS,7792000000527
BD4055,PASTILLA FRENO TRAS FREMAX BD4055,41200,21,5,Fremax,FRENOS,7792000000528
