articulo_codigo,vehiculo_marca,vehiculo_modelo,vehiculo_anio_desde,vehiculo_anio_hasta,origen,confirmado,nota
CV3009,Nissan,Versa,2015,2022,manual,1,
334257,Volkswagen,Saveiro,2010,2021,manual,1,
G16173,Renault,Duster,2012,2022,extraido_ia,0,
32195,Nissan,March,2014,2021,extraido_ia,0,
32195,Volkswagen,Vento,2011,2018,extraido_ia,0,
32195,Ford,EcoSport,2013,2021,manual,1,
RA3282,Fiat,Uno,2011,2020,extraido_ia,0,
RA3282,Renault,Master,2015,2023,extraido_ia,0,
32584,Chevrolet,Agile,2009,2016,manual,1,
32584,Fiat,Uno,2011,2020,extraido_ia,0,
31424,Volkswagen,Amarok,2011,2022,manual,1,
RA3041,Peugeot,Partner,2012,2020,manual,1,
333083,Toyota,SW4,2016,2023,extraido_ia,0,
333083,Renault,Stepway,2016,2023,manual,1,
333083,Ford,Focus,2013,2019,manual,1,
28021,Volkswagen,Saveiro,2010,2021,manual,1,
28021,Renault,Kangoo,2010,2018,extraido_ia,0,
28021,Fiat,Toro,2016,2023,extraido_ia,0,
RA3964,Renault,Duster,2012,2022,manual,1,
G16249,Fiat,Toro,2016,2023,extraido_ia,0,
E1808,Nissan,March,2014,2021,manual,1,
E1632,Ford,EcoSport,2013,2021,manual,1,
CV6146,Renault,Sandero,2015,2022,manual,1,
333622,Ford,Ranger,2013,2022,extraido_ia,0,
333622,Renault,Logan,2014,2021,extraido_ia,0,
333622,Peugeot,308,2013,2020,manual,1,
CV8702,Chevrolet,Cruze,2016,2023,extraido_ia,0,
CV8702,Renault,Stepway,2016,2023,manual,1,
CV8702,Ford,Ranger,2013,2022,manual,1,
E1442,Renault,Kangoo,2010,2018,manual,1,
E1442,Ford,EcoSport,2013,2021,manual,1,
E1432,Toyota,Yaris,2018,2024,manual,1,
E1432,Peugeot,208,2013,2020,extraido_ia,0,
E1432,Chevrolet,Prisma,2013,2019,manual,1,
335854,Renault,Sandero,2015,2022,extraido_ia,0,
335854,Peugeot,2008,2016,2023,extraido_ia,0,
335854,Fiat,Toro,2016,2023,manual,1,
CV7481,Nissan,Kicks,2017,2023,extraido_ia,0,
CV7481,Chevrolet,Spin,2013,2020,manual,1,
CV7481,Peugeot,208,2013,2020,manual,1,
G16555,Toyota,Hilux,2016,2023,manual,1,
G16555,Fiat,Argo,2018,2024,manual,1,
G16992,Ford,EcoSport,2013,2021,manual,1,
31753,Fiat,Uno,2011,2020,manual,1,
31753,Volkswagen,Vento,2011,2018,manual,1,
6159DDU,Toyota,Yaris,2018,2024,manual,1,
6159DDU,Volkswagen,Fox,2010,2018,manual,1,
6236DDU,Renault,Oroch,2018,2023,manual,1,
F-172155,Peugeot,207 Compact,2011,2016,extraido_ia,0,
531185,Chevrolet,Spin,2013,2020,extraido_ia,0,
531185,Renault,Kangoo,2010,2018,manual,1,
531185,Volkswagen,Suran,2010,2019,manual,1,
VKBA3544,Volkswagen,Gol Trend,2013,2019,extraido_ia,0,
6050DDU,Volkswagen,Suran,2010,2019,manual,1,
F-513215,Fiat,Siena,2010,2016,extraido_ia,0,
F-513215,Toyota,Yaris,2018,2024,manual,1,
F-513215,Chevrolet,Agile,2009,2016,manual,1,
694984,Ford,Ranger,2013,2022,manual,1,
694984,Chevrolet,Cruze,2016,2023,extraido_ia,0,
6280DDU,Fiat,Mobi,2017,2023,manual,1,
F-457823,Renault,Stepway,2016,2023,manual,1,
F-457823,Renault,Logan,2014,2021,manual,1,
F-457823,Volkswagen,Suran,2010,2019,manual,1,
578772,Fiat,Siena,2010,2016,manual,1,
578772,Fiat,Palio,2012,2017,manual,1,
VKM13131,Peugeot,Partner,2012,2020,extraido_ia,0,
VKM13131,Chevrolet,Tracker,2013,2020,manual,1,
VKBA3807,Volkswagen,Gol Trend,2013,2019,manual,1,
VKBA3807,Nissan,March,2014,2021,manual,1,
F-262082,Chevrolet,S10,2012,2022,extraido_ia,0,
VKBA3419,Chevrolet,S10,2012,2022,extraido_ia,0,
VKBA3419,Fiat,Strada,2014,2020,extraido_ia,0,
F-511726,Ford,Territory,2021,2024,manual,1,
F-511726,Fiat,Toro,2016,2023,manual,1,
F-511726,Toyota,Hilux,2016,2023,manual,1,
6357-2RS,Toyota,Yaris,2018,2024,extraido_ia,0,
6357-2RS,Volkswagen,Suran,2010,2019,extraido_ia,0,
6357-2RS,Ford,EcoSport,2013,2021,extraido_ia,0,
6349DDU,Citroën,C3,2012,2020,manual,1,
F-528883,Nissan,March,2014,2021,extraido_ia,0,
F-528883,Volkswagen,Amarok,2011,2022,extraido_ia,0,
F-528883,Peugeot,308,2013,2020,manual,1,
F-510701,Toyota,Yaris,2018,2024,manual,1,
F-510701,Fiat,Uno,2011,2020,extraido_ia,0,
F-465391,Renault,Duster,2012,2022,manual,1,
F-465391,Peugeot,206,2009,2013,manual,1,
F-465391,Ford,Ka,2015,2021,extraido_ia,0,
666409,Peugeot,208,2013,2020,manual,1,
666409,Chevrolet,Agile,2009,2016,manual,1,
6057DDU,Renault,Oroch,2018,2023,extraido_ia,0,
6074DDU,Toyota,SW4,2016,2023,manual,1,
6263DDU,Renault,Master,2015,2023,extraido_ia,0,
VKBA3468,Toyota,Corolla,2014,2019,manual,1,
F-272448,Nissan,March,2014,2021,manual,1,
F-272448,Ford,Fiesta,2011,2019,manual,1,
F-272448,Peugeot,207 Compact,2011,2016,manual,1,
F-249654,Volkswagen,Amarok,2011,2022,manual,1,
F-249654,Nissan,March,2014,2021,extraido_ia,0,
6384DDU,Renault,Logan,2014,2021,manual,1,
6384DDU,Chevrolet,Agile,2009,2016,manual,1,
VKM12082,Renault,Sandero,2015,2022,manual,1,
F-537502,Nissan,Frontier,2016,2023,manual,1,
F-423955,Renault,Sandero,2015,2022,manual,1,
F-423955,Peugeot,207 Compact,2011,2016,manual,1,
F-423955,Ford,Ranger,2013,2022,extraido_ia,0,
F-492217,Ford,Ranger,2013,2022,manual,1,
VKBA3678,Ford,Ka,2015,2021,manual,1,
VKBA3678,Nissan,Frontier,2016,2023,extraido_ia,0,
VKBA3678,Ford,Territory,2021,2024,manual,1,
6078DDU,Ford,Fiesta,2011,2019,manual,1,
F-480196,Peugeot,2008,2016,2023,extraido_ia,0,
6394DDU,Nissan,Frontier,2016,2023,extraido_ia,0,
664600,Nissan,Kicks,2017,2023,manual,1,
664600,Renault,Clio,2012,2016,manual,1,
6128DDU,Citroën,C3,2012,2020,manual,1,
6128DDU,Fiat,Palio,2012,2017,manual,1,
6128DDU,Volkswagen,Amarok,2011,2022,extraido_ia,0,
F-571082,Chevrolet,Prisma,2013,2019,extraido_ia,0,
F-571082,Renault,Oroch,2018,2023,extraido_ia,0,
F-333478,Chevrolet,Tracker,2013,2020,manual,1,
F-333478,Volkswagen,Amarok,2011,2022,manual,1,
650426,Renault,Kangoo,2010,2018,extraido_ia,0,
650426,Toyota,Etios,2013,2021,extraido_ia,0,
F-295139,Fiat,Strada,2014,2020,extraido_ia,0,
F-520425,Toyota,Yaris,2018,2024,manual,1,
6021DDU,Chevrolet,Corsa Classic,2009,2016,extraido_ia,0,
6021DDU,Ford,Ka,2015,2021,manual,1,
6332DDU,Citroën,C3,2012,2020,manual,1,
6332DDU,Fiat,Mobi,2017,2023,manual,1,
6332DDU,Citroën,C4 Lounge,2014,2020,manual,1,
573053,Nissan,March,2014,2021,extraido_ia,0,
F-557059,Chevrolet,Prisma,2013,2019,manual,1,
F-557059,Chevrolet,Onix,2016,2023,manual,1,
F-557059,Toyota,Etios,2013,2021,manual,1,
IK16,Chevrolet,Tracker,2013,2020,manual,1,
IK21,Fiat,Toro,2016,2023,manual,1,
IK21,Ford,Ka,2015,2021,extraido_ia,0,
DCPR7E,Peugeot,308,2013,2020,extraido_ia,0,
DCPR7E,Peugeot,207 Compact,2011,2016,extraido_ia,0,
BPR6ES,Toyota,Yaris,2018,2024,extraido_ia,0,
BPR6ES,Toyota,Hilux,2016,2023,extraido_ia,0,
K16PR-U,Ford,Ka,2015,2021,manual,1,
K16PR-U,Peugeot,206,2009,2013,manual,1,
K16PR-U,Peugeot,207 Compact,2011,2016,manual,1,
0986B08596,Renault,Master,2015,2023,manual,1,
0986TB7887,Nissan,Frontier,2016,2023,extraido_ia,0,
0986TB7887,Peugeot,207 Compact,2011,2016,extraido_ia,0,
BKR7E,Peugeot,2008,2016,2023,extraido_ia,0,
K17PR-U,Renault,Clio,2012,2016,manual,1,
K17PR-U,Peugeot,206,2009,2013,manual,1,
K17PR-U,Toyota,Etios,2013,2021,extraido_ia,0,
0986B06829,Volkswagen,Saveiro,2010,2021,extraido_ia,0,
0986B06829,Nissan,March,2014,2021,manual,1,
0986AF5280,Volkswagen,Polo,2018,2024,manual,1,
0986AF5280,Toyota,Hilux,2016,2023,extraido_ia,0,
0986AF5280,Volkswagen,Suran,2010,2019,manual,1,
0986B03748,Renault,Sandero,2015,2022,manual,1,
0986TB9240,Renault,Logan,2014,2021,manual,1,
0986TB9240,Citroën,C3,2012,2020,manual,1,
0986TB9240,Fiat,Argo,2018,2024,manual,1,
IK22,Peugeot,2008,2016,2023,extraido_ia,0,
IK22,Toyota,Etios,2013,2021,manual,1,
DCPR8E,Nissan,March,2014,2021,extraido_ia,0,
DCPR8E,Chevrolet,Agile,2009,2016,manual,1,
0986TB3185,Ford,Ranger,2013,2022,manual,1,
0986TB9660,Volkswagen,Suran,2010,2019,extraido_ia,0,
0986TB9660,Peugeot,2008,2016,2023,manual,1,
0986B09917,Renault,Oroch,2018,2023,manual,1,
0986B09917,Fiat,Argo,2018,2024,extraido_ia,0,
0986B09917,Citroën,C3,2012,2020,manual,1,
0986B07918,Renault,Master,2015,2023,manual,1,
0986AF2701,Fiat,Mobi,2017,2023,manual,1,
0986AF2701,Renault,Clio,2012,2016,extraido_ia,0,
0986AF2701,Fiat,Cronos,2018,2024,manual,1,
0986B08952,Volkswagen,Gol Power,2009,2013,manual,1,
0986B08952,Fiat,Toro,2016,2023,manual,1,
0986B08952,Nissan,Frontier,2016,2023,extraido_ia,0,
0986TB7269,Peugeot,Partner,2012,2020,manual,1,
0986TB7269,Renault,Master,2015,2023,extraido_ia,0,
0986TB7269,Chevrolet,Spin,2013,2020,manual,1,
0986B09006,Volkswagen,Amarok,2011,2022,manual,1,
0986B09006,Citroën,C4 Lounge,2014,2020,extraido_ia,0,
0986TB5274,Nissan,March,2014,2021,manual,1,
0986TB5274,Toyota,SW4,2016,2023,extraido_ia,0,
0986TB4501,Nissan,Versa,2015,2022,manual,1,
0986TB4501,Renault,Logan,2014,2021,extraido_ia,0,
0986AF3810,Renault,Stepway,2016,2023,manual,1,
0986TB4632,Ford,Ranger,2013,2022,extraido_ia,0,
0986B03379,Fiat,Mobi,2017,2023,extraido_ia,0,
0986B03379,Fiat,Toro,2016,2023,manual,1,
0986B03379,Toyota,SW4,2016,2023,manual,1,
0986TB2366,Volkswagen,Gol Power,2009,2013,extraido_ia,0,
0986TB2366,Ford,Ka,2015,2021,manual,1,
0986AF8693,Chevrolet,Cruze,2016,2023,extraido_ia,0,
0986TB6392,Peugeot,208,2013,2020,extraido_ia,0,
0986TB6392,Nissan,March,2014,2021,extraido_ia,0,
0986TB6392,Fiat,Cronos,2018,2024,extraido_ia,0,
0986B04796,Chevrolet,Tracker,2013,2020,manual,1,
0986B04796,Peugeot,308,2013,2020,manual,1,
0986B09407,Peugeot,2008,2016,2023,extraido_ia,0,
0986TB8437,Fiat,Toro,2016,2023,manual,1,
0986TB8437,Citroën,C4 Lounge,2014,2020,extraido_ia,0,
0986AF8184,Peugeot,Partner,2012,2020,extraido_ia,0,
0986AF8184,Renault,Sandero,2015,2022,manual,1,
0986AF8653,Volkswagen,Saveiro,2010,2021,manual,1,
0986AF8653,Chevrolet,Onix,2016,2023,manual,1,
0986AF8653,Fiat,Argo,2018,2024,manual,1,
0986TB9534,Peugeot,207 Compact,2011,2016,manual,1,
0986TB9534,Toyota,SW4,2016,2023,extraido_ia,0,
0986TB9534,Volkswagen,Gol Power,2009,2013,manual,1,
0986TB2069,Fiat,Strada,2014,2020,extraido_ia,0,
0986TB2069,Fiat,Siena,2010,2016,manual,1,
0986TB2069,Volkswagen,Gol Trend,2013,2019,manual,1,
0986AF3463,Volkswagen,Vento,2011,2018,extraido_ia,0,
0986AF3463,Peugeot,206,2009,2013,manual,1,
0986B05558,Toyota,Hilux,2016,2023,manual,1,
0986B03505,Fiat,Mobi,2017,2023,extraido_ia,0,
0986B03505,Citroën,C4 Lounge,2014,2020,manual,1,
0986B03505,Citroën,Berlingo,2012,2020,extraido_ia,0,
0986AF1752,Fiat,Palio,2012,2017,extraido_ia,0,
0986AF9279,Renault,Stepway,2016,2023,manual,1,
0986AF9279,Citroën,C4 Lounge,2014,2020,extraido_ia,0,
0986AF9279,Fiat,Palio,2012,2017,manual,1,
0986B05744,Toyota,Etios,2013,2021,manual,1,
K025550,Fiat,Uno,2011,2020,extraido_ia,0,
CT1164,Nissan,Versa,2015,2022,extraido_ia,0,
CT1164,Ford,EcoSport,2013,2021,manual,1,
3PK1057,Renault,Master,2015,2023,manual,1,
K044537,Chevrolet,Tracker,2013,2020,manual,1,
K044537,Toyota,Yaris,2018,2024,extraido_ia,0,
KTB373,Peugeot,Partner,2012,2020,manual,1,
KTB373,Nissan,Frontier,2016,2023,extraido_ia,0,
K045649,Chevrolet,Agile,2009,2016,extraido_ia,0,
5PK1585,Ford,Focus,2013,2019,manual,1,
5PK1585,Volkswagen,Gol Power,2009,2013,manual,1,
5PK1585,Ford,Ranger,2013,2022,manual,1,
KTB408,Fiat,Mobi,2017,2023,manual,1,
KTB574,Nissan,Versa,2015,2022,manual,1,
KTB574,Renault,Duster,2012,2022,extraido_ia,0,
KTB574,Citroën,C3,2012,2020,extraido_ia,0,
4PK874,Volkswagen,Polo,2018,2024,manual,1,
6PK1458,Chevrolet,Cruze,2016,2023,extraido_ia,0,
6PK1458,Peugeot,Partner,2012,2020,extraido_ia,0,
6PK1373,Fiat,Palio,2012,2017,extraido_ia,0,
6PK1373,Nissan,Kicks,2017,2023,manual,1,
6PK1373,Peugeot,308,2013,2020,extraido_ia,0,
5PK2008,Chevrolet,Agile,2009,2016,manual,1,
5PK2008,Fiat,Strada,2014,2020,extraido_ia,0,
91874,Chevrolet,Prisma,2013,2019,manual,1,
K045557,Toyota,Hilux,2016,2023,manual,1,
6PK1060,Ford,Territory,2021,2024,manual,1,
6PK1060,Renault,Sandero,2015,2022,extraido_ia,0,
7PK1904,Fiat,Cronos,2018,2024,extraido_ia,0,
7PK1904,Toyota,Hilux,2016,2023,extraido_ia,0,
90253,Ford,Ranger,2013,2022,extraido_ia,0,
KTB542,Toyota,Hilux,2016,2023,manual,1,
CT1094,Peugeot,Partner,2012,2020,manual,1,
CT1094,Volkswagen,Gol Power,2009,2013,extraido_ia,0,
CT1094,Peugeot,207 Compact,2011,2016,manual,1,
6PK1548,Toyota,Hilux,2016,2023,manual,1,
6PK1548,Ford,Territory,2021,2024,extraido_ia,0,
CT1083,Toyota,SW4,2016,2023,manual,1,
CT1083,Fiat,Cronos,2018,2024,extraido_ia,0,
6PK2162,Renault,Sandero,2015,2022,manual,1,
6PK2162,Fiat,Toro,2016,2023,manual,1,
KTB301,Toyota,Corolla,2014,2019,extraido_ia,0,
KTB301,Ford,Ka,2015,2021,manual,1,
4PK740,Ford,Territory,2021,2024,manual,1,
4PK740,Toyota,Hilux,2016,2023,manual,1,
K055632,Chevrolet,Spin,2013,2020,extraido_ia,0,
K055632,Peugeot,208,2013,2020,manual,1,
KTB558,Fiat,Argo,2018,2024,manual,1,
KTB558,Ford,Ka,2015,2021,manual,1,
4PK1503,Peugeot,206,2009,2013,extraido_ia,0,
4PK1503,Renault,Duster,2012,2022,manual,1,
4PK1503,Peugeot,308,2013,2020,manual,1,
7PK1467,Fiat,Uno,2011,2020,manual,1,
7PK1467,Peugeot,2008,2016,2023,extraido_ia,0,
5PK1332,Citroën,C3,2012,2020,manual,1,
5PK1332,Ford,Focus,2013,2019,extraido_ia,0,
5PK1332,Volkswagen,Suran,2010,2019,extraido_ia,0,
K049630,Ford,EcoSport,2013,2021,manual,1,
K049630,Citroën,C4 Lounge,2014,2020,manual,1,
92657,Ford,Territory,2021,2024,manual,1,
6PK1185,Nissan,Versa,2015,2022,extraido_ia,0,
WO8370,Peugeot,206,2009,2013,manual,1,
WO6093,Peugeot,208,2013,2020,manual,1,
WO6093,Volkswagen,Suran,2010,2019,extraido_ia,0,
CT17000,Chevrolet,S10,2012,2022,manual,1,
CT10000,Chevrolet,Corsa Classic,2009,2016,extraido_ia,0,
WO2063,Chevrolet,Cruze,2016,2023,manual,1,
WO2063,Citroën,Berlingo,2012,2020,extraido_ia,0,
WO2063,Toyota,Etios,2013,2021,manual,1,
CT14000,Toyota,SW4,2016,2023,manual,1,
DPH8941,Ford,Ranger,2013,2022,manual,1,
VB-1703,Chevrolet,Tracker,2013,2020,extraido_ia,0,
VB-1703,Chevrolet,Agile,2009,2016,manual,1,
DPH1107,Chevrolet,Tracker,2013,2020,extraido_ia,0,
DPH1107,Fiat,Argo,2018,2024,manual,1,
DPH1107,Fiat,Cronos,2018,2024,manual,1,
CT13000,Renault,Clio,2012,2016,manual,1,
CT15000,Peugeot,Partner,2012,2020,manual,1,
DPH4083,Renault,Stepway,2016,2023,manual,1,
DPH8424,Ford,Ranger,2013,2022,manual,1,
CT16000,Renault,Logan,2014,2021,manual,1,
JFC552,Ford,Focus,2013,2019,manual,1,
JFC552,Nissan,Versa,2015,2022,manual,1,
VB-3778,Ford,Fiesta,2011,2019,manual,1,
VB-3778,Toyota,Yaris,2018,2024,extraido_ia,0,
VB-3778,Fiat,Argo,2018,2024,manual,1,
DPH3719,Citroën,C4 Lounge,2014,2020,manual,1,
DPH3719,Nissan,Kicks,2017,2023,manual,1,
DPH3719,Volkswagen,Polo,2018,2024,manual,1,
VB-2547,Renault,Oroch,2018,2023,extraido_ia,0,
VB-2547,Toyota,Yaris,2018,2024,manual,1,
VB-2547,Fiat,Argo,2018,2024,extraido_ia,0,
VB-1494,Fiat,Strada,2014,2020,manual,1,
VB-1494,Renault,Stepway,2016,2023,manual,1,
VB-1494,Peugeot,Partner,2012,2020,extraido_ia,0,
VB-1450,Chevrolet,Corsa Classic,2009,2016,manual,1,
VB-1450,Ford,Fiesta,2011,2019,manual,1,
VB-1450,Citroën,Berlingo,2012,2020,manual,1,
JFC599,Ford,EcoSport,2013,2021,manual,1,
VB-4014,Chevrolet,Tracker,2013,2020,extraido_ia,0,
VB-4014,Toyota,Etios,2013,2021,extraido_ia,0,
VB-4014,Chevrolet,Cruze,2016,2023,manual,1,
VB-3841,Renault,Master,2015,2023,extraido_ia,0,
JFC131,Renault,Oroch,2018,2023,extraido_ia,0,
JFC131,Fiat,Toro,2016,2023,extraido_ia,0,
JFC131,Volkswagen,Amarok,2011,2022,extraido_ia,0,
DPH7928,Peugeot,207 Compact,2011,2016,manual,1,
DPH7928,Volkswagen,Fox,2010,2018,extraido_ia,0,
DPH7928,Renault,Stepway,2016,2023,manual,1,
VB-4641,Renault,Clio,2012,2016,manual,1,
VB-4641,Peugeot,2008,2016,2023,extraido_ia,0,
VB-4641,Toyota,SW4,2016,2023,manual,1,
WO9608,Fiat,Toro,2016,2023,extraido_ia,0,
WO3847,Peugeot,207 Compact,2011,2016,manual,1,
VB-1514,Renault,Kangoo,2010,2018,manual,1,
VB-1514,Renault,Duster,2012,2022,manual,1,
VB-1514,Ford,Ka,2015,2021,manual,1,
DPH5348,Nissan,Frontier,2016,2023,manual,1,
DPH5348,Citroën,Berlingo,2012,2020,manual,1,
DPH5348,Toyota,Etios,2013,2021,extraido_ia,0,
VB-4955,Toyota,Corolla,2014,2019,manual,1,
VB-4955,Nissan,Versa,2015,2022,manual,1,
CT18000,Volkswagen,Suran,2010,2019,extraido_ia,0,
CT18000,Volkswagen,Amarok,2011,2022,extraido_ia,0,
CT18000,Citroën,C3,2012,2020,manual,1,
DPH1415,Toyota,Corolla,2014,2019,manual,1,
JFC373,Fiat,Argo,2018,2024,extraido_ia,0,
VB-4528,Fiat,Uno,2011,2020,manual,1,
CT19000,Fiat,Uno,2011,2020,extraido_ia,0,
CT19000,Peugeot,Partner,2012,2020,extraido_ia,0,
CT19000,Fiat,Palio,2012,2017,extraido_ia,0,
JFC849,Citroën,C3,2012,2020,extraido_ia,0,
JFC849,Renault,Kangoo,2010,2018,extraido_ia,0,
DPH7021,Volkswagen,Gol Trend,2013,2019,extraido_ia,0,
DPH7021,Ford,Ka,2015,2021,extraido_ia,0,
JFC449,Volkswagen,Suran,2010,2019,extraido_ia,0,
DPH7091,Volkswagen,Gol Trend,2013,2019,manual,1,
DPH7091,Renault,Duster,2012,2022,extraido_ia,0,
815549,Peugeot,206,2009,2013,manual,1,
CV2545,Toyota,Corolla,2014,2019,manual,1,
CV2545,Chevrolet,S10,2012,2022,extraido_ia,0,
CV9758,Volkswagen,Suran,2010,2019,extraido_ia,0,
CV9758,Toyota,Etios,2013,2021,manual,1,
CV7537,Peugeot,2008,2016,2023,manual,1,
CV7537,Chevrolet,Cruze,2016,2023,extraido_ia,0,
CV7537,Nissan,Kicks,2017,2023,extraido_ia,0,
3000518550,Citroën,C3,2012,2020,manual,1,
3000518550,Chevrolet,Corsa Classic,2009,2016,extraido_ia,0,
3000518550,Peugeot,Partner,2012,2020,extraido_ia,0,
CV2235,Nissan,Frontier,2016,2023,extraido_ia,0,
CV2235,Chevrolet,Corsa Classic,2009,2016,extraido_ia,0,
CV2235,Peugeot,Partner,2012,2020,manual,1,
CV6217,Toyota,SW4,2016,2023,manual,1,
CV6217,Chevrolet,S10,2012,2022,manual,1,
CV6217,Volkswagen,Gol Power,2009,2013,manual,1,
804271,Chevrolet,Prisma,2013,2019,manual,1,
3000800626,Volkswagen,Saveiro,2010,2021,manual,1,
3000800626,Chevrolet,Spin,2013,2020,manual,1,
3000800626,Chevrolet,S10,2012,2022,extraido_ia,0,
CV5979,Renault,Kangoo,2010,2018,manual,1,
CV5979,Ford,Fiesta,2011,2019,extraido_ia,0,
817260,Fiat,Cronos,2018,2024,manual,1,
817260,Volkswagen,Vento,2011,2018,manual,1,
3000277655,Fiat,Palio,2012,2017,manual,1,
3000277655,Renault,Clio,2012,2016,manual,1,
646185600,Volkswagen,Fox,2010,2018,extraido_ia,0,
646185600,Peugeot,Partner,2012,2020,extraido_ia,0,
646185600,Nissan,March,2014,2021,manual,1,
819229,Ford,Ranger,2013,2022,manual,1,
819229,Toyota,Yaris,2018,2024,manual,1,
819229,Fiat,Palio,2012,2017,manual,1,
817168,Peugeot,2008,2016,2023,extraido_ia,0,
CV2753,Ford,Focus,2013,2019,manual,1,
CV2753,Renault,Stepway,2016,2023,manual,1,
CV9396,Fiat,Mobi,2017,2023,manual,1,
CV1707,Chevrolet,S10,2012,2022,extraido_ia,0,
813267,Peugeot,207 Compact,2011,2016,extraido_ia,0,
813267,Volkswagen,Polo,2018,2024,extraido_ia,0,
CV9562,Fiat,Toro,2016,2023,manual,1,
3000284895,Toyota,Etios,2013,2021,manual,1,
3000284895,Peugeot,2008,2016,2023,manual,1,
3000284895,Renault,Kangoo,2010,2018,extraido_ia,0,
642243800,Toyota,Yaris,2018,2024,manual,1,
629239600,Renault,Oroch,2018,2023,manual,1,
629239600,Fiat,Mobi,2017,2023,extraido_ia,0,
3000603104,Volkswagen,Gol Power,2009,2013,manual,1,
3000603104,Renault,Duster,2012,2022,extraido_ia,0,
3000981390,Renault,Duster,2012,2022,manual,1,
3000981390,Renault,Master,2015,2023,extraido_ia,0,
3000981390,Nissan,Versa,2015,2022,extraido_ia,0,
3000751397,Peugeot,207 Compact,2011,2016,manual,1,
3000204585,Volkswagen,Suran,2010,2019,manual,1,
826825,Volkswagen,Vento,2011,2018,extraido_ia,0,
826825,Volkswagen,Saveiro,2010,2021,manual,1,
CV9658,Toyota,Corolla,2014,2019,manual,1,
CV9658,Renault,Kangoo,2010,2018,extraido_ia,0,
GDB1023,Toyota,Corolla,2014,2019,manual,1,
CV2501,Volkswagen,Gol Trend,2013,2019,manual,1,
CV2501,Renault,Clio,2012,2016,manual,1,
CV2501,Nissan,March,2014,2021,manual,1,
JTE392,Toyota,Hilux,2016,2023,manual,1,
JTE392,Peugeot,308,2013,2020,manual,1,
JTE392,Volkswagen,Gol Trend,2013,2019,extraido_ia,0,
JTE116,Toyota,SW4,2016,2023,manual,1,
JTE116,Renault,Kangoo,2010,2018,manual,1,
CV6634,Fiat,Strada,2014,2020,extraido_ia,0,
CV6634,Chevrolet,Corsa Classic,2009,2016,extraido_ia,0,
CV6634,Volkswagen,Amarok,2011,2022,extraido_ia,0,
CV7665,Ford,Fiesta,2011,2019,extraido_ia,0,
3036,Toyota,Yaris,2018,2024,manual,1,
CV6684,Chevrolet,Cruze,2016,2023,manual,1,
CV6684,Ford,Ka,2015,2021,extraido_ia,0,
1003,Renault,Clio,2012,2016,manual,1,
1003,Ford,Fiesta,2011,2019,manual,1,
1003,Chevrolet,Onix,2016,2023,manual,1,
3967,Fiat,Uno,2011,2020,manual,1,
3967,Chevrolet,Prisma,2013,2019,extraido_ia,0,
3967,Volkswagen,Fox,2010,2018,manual,1,
4871,Ford,Fiesta,2011,2019,manual,1,
4871,Chevrolet,Tracker,2013,2020,extraido_ia,0,
JTE298,Peugeot,206,2009,2013,manual,1,
JTE298,Chevrolet,Corsa Classic,2009,2016,manual,1,
JTE298,Toyota,Corolla,2014,2019,manual,1,
CV2961,Fiat,Strada,2014,2020,manual,1,
CV2961,Volkswagen,Amarok,2011,2022,manual,1,
CV2961,Citroën,C3,2012,2020,extraido_ia,0,
3120,Renault,Kangoo,2010,2018,manual,1,
3120,Peugeot,2008,2016,2023,extraido_ia,0,
CV7917,Fiat,Palio,2012,2017,manual,1,
CV7917,Ford,EcoSport,2013,2021,manual,1,
CV9387,Renault,Duster,2012,2022,extraido_ia,0,
CV2619,Renault,Duster,2012,2022,extraido_ia,0,
CV4841,Chevrolet,Cruze,2016,2023,extraido_ia,0,
CV4841,Citroën,Berlingo,2012,2020,manual,1,
CV4841,Ford,EcoSport,2013,2021,extraido_ia,0,
JTE750,Nissan,March,2014,2021,extraido_ia,0,
JTE750,Chevrolet,Prisma,2013,2019,manual,1,
GDB1051,Toyota,SW4,2016,2023,manual,1,
GDB1051,Volkswagen,Vento,2011,2018,extraido_ia,0,
CV1448,Volkswagen,Vento,2011,2018,manual,1,
CV1448,Chevrolet,Cruze,2016,2023,manual,1,
1919,Renault,Duster,2012,2022,manual,1,
GDB1203,Chevrolet,Prisma,2013,2019,manual,1,
GDB1203,Toyota,Yaris,2018,2024,manual,1,
CV3389,Renault,Oroch,2018,2023,manual,1,
2922,Volkswagen,Gol Trend,2013,2019,manual,1,
4842,Renault,Duster,2012,2022,extraido_ia,0,
4842,Volkswagen,Saveiro,2010,2021,manual,1,
JTE330,Volkswagen,Polo,2018,2024,manual,1,
4877,Fiat,Mobi,2017,2023,extraido_ia,0,
CV8988,Peugeot,Partner,2012,2020,extraido_ia,0,
CV8988,Ford,Ka,2015,2021,manual,1,
CV8988,Fiat,Toro,2016,2023,manual,1,
CV8727,Peugeot,2008,2016,2023,manual,1,
1827,Fiat,Cronos,2018,2024,manual,1,
1827,Volkswagen,Saveiro,2010,2021,extraido_ia,0,
CV3273,Fiat,Palio,2012,2017,extraido_ia,0,
CV3273,Renault,Stepway,2016,2023,manual,1,
CV3273,Toyota,Etios,2013,2021,manual,1,
CV8652,Volkswagen,Suran,2010,2019,extraido_ia,0,
CV2804,Fiat,Uno,2011,2020,extraido_ia,0,
CV2804,Renault,Duster,2012,2022,manual,1,
CV2804,Volkswagen,Saveiro,2010,2021,extraido_ia,0,
